Data here is stored as follows:

#HiddenLayers, #HiddenDimensions = [Accuracy per kfold iteration]

1,5 = [0.4732857142857143, 0.5402857142857143, 0.5195714285714286, 0.4012857142857143, 0.4521428571428571, 0.5097142857142857, 0.4622857142857143, 0.43957142857142856, 0.6121428571428571, 0.4777142857142857]


1,10 = [0.4441428571428571, 0.4114285714285714, 0.309, 0.39285714285714285, 0.42628571428571427, 0.4164285714285714, 0.41828571428571426, 0.4092857142857143, 0.35428571428571426, 0.4298571428571429]


1,15 = [0.38, 0.36328571428571427, 0.2938571428571429, 0.33, 0.32171428571428573, 0.30714285714285716, 0.3187142857142857, 0.276, 0.34985714285714287, 0.365]


1,40 = [0.307, 0.27071428571428574, 0.22842857142857143, 0.2322857142857143, 0.22728571428571429, 0.25771428571428573, 0.2007142857142857, 0.22385714285714287, 0.22514285714285714, 0.21571428571428572]


1,80 = [0.2547142857142857, 0.23485714285714285, 0.1792857142857143, 0.176, 0.16214285714285714, 0.18014285714285713, 0.173, 0.17257142857142857, 0.17042857142857143, 0.19185714285714286]


1,300 = [0.20357142857142857, 0.15414285714285714, 0.14557142857142857, 0.12914285714285714, 0.12042857142857143, 0.12014285714285715, 0.12128571428571429, 0.117, 0.11228571428571428, 0.11314285714285714]



2,15 = [0.5741428571428572, 0.5628571428571428, 0.6108571428571429, 0.6124285714285714, 0.6224285714285714, 0.6154285714285714, 0.6098571428571429, 0.6207142857142857, 0.5982857142857143, 0.5911428571428572]


2,40 = [0.7238571428571429, 0.6112857142857143, 0.6225714285714286, 0.599, 0.5814285714285714, 0.5491428571428572, 0.5117142857142857, 0.5182857142857142, 0.5002857142857143, 0.4554285714285714]


2,80 = [0.6101428571428571, 0.466, 0.351, 0.33, 0.3397142857142857, 0.38157142857142856, 0.358, 0.521, 0.527, 0.6264285714285714]




3,20 = [0.9028571428571428, 0.8977142857142857, 0.8991428571428571, 0.8995714285714286, 0.8865714285714286, 0.8844285714285715, 0.8902857142857142, 0.8837142857142857, 0.8867142857142857, 0.8924285714285715]


3,40 = [0.8907142857142857, 0.8827142857142857, 0.887, 0.8847142857142857, 0.8878571428571429, 0.8841428571428571, 0.8901428571428571, 0.8867142857142857, 0.9004285714285715, 0.8941428571428571]


3,80 = [0.8888571428571429, 0.8831428571428571, 0.8835714285714286, 0.8898571428571429, 0.9057142857142857, 0.9057142857142857, 0.8982857142857142, 0.8972857142857142, 0.9015714285714286, 0.8877142857142857]
